epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.449165
2,,0.979800,2.042922
3,,0.979800,2.189389
4,,0.979800,2.541818
5,,0.979800,2.185577
6,,0.979800,1.872179
7,,0.979800,1.967259
8,,0.979800,1.641904
9,,0.979800,1.644071
10,,0.979800,3.326175
11,,0.979800,2.189242
12,,0.979800,2.203534
13,,0.979800,1.842297
14,,0.979800,1.744088
15,,0.979800,1.864210
16,,0.979800,1.943405
17,,0.979800,1.854491
18,,0.979800,1.727653
19,,0.979800,2.026517
20,,0.979800,1.765291
21,,0.979800,1.915004
22,,0.979800,2.063965
23,,0.979800,2.243888
24,,0.979800,1.725369
25,,0.979800,1.996377
26,,0.979800,1.789067
27,,0.979800,1.700264
28,,0.979800,1.837540
29,,0.979800,1.723217
30,,0.979800,1.836983
31,,0.979800,1.699150
32,,0.979800,1.986971
33,,0.979800,1.782521
34,,0.979800,1.679499
35,,0.979800,1.888150
36,,0.979800,1.846210
37,,0.979800,1.704992
38,,0.979800,2.001110
39,,0.979800,1.702968
40,,0.979800,1.679062
41,,0.979800,1.634563
42,,0.979800,1.923570
43,,0.979800,1.832850
44,,0.979800,1.716738
45,,0.979800,1.850657
46,,0.979800,1.659556
47,,0.979800,1.684689
48,,0.979800,1.746494
49,,0.979800,1.890693
50,,0.979800,1.671015
51,,0.979800,1.787177
52,,0.979800,1.899684
53,,0.979800,1.817733
54,,0.979800,1.708349
55,,0.979800,2.121351
56,,0.979800,1.697544
57,,0.979800,1.975874
58,,0.979800,1.763214
59,,0.979800,1.728707
60,,0.979800,1.673132
61,,0.979800,1.747316
62,,0.979800,1.859859
63,,0.979800,1.799191
64,,0.979800,1.634442
65,,0.979800,1.844592
66,,0.979800,1.712551
67,,0.979800,1.738853
68,,0.979800,1.724172
69,,0.979800,1.606481
70,,0.979800,1.624361
71,,0.979800,1.861182
72,,0.979800,1.875028
73,,0.979800,1.759053
74,,0.979800,1.822640
75,,0.979800,1.859145
76,,0.979800,1.976832
77,,0.979800,2.041594
78,,0.979800,2.012271
79,,0.979800,1.737919
80,,0.979800,1.610450
81,,0.979800,1.866301
82,,0.979800,1.615732
83,,0.979800,1.760864
84,,0.979800,1.879981
85,,0.979800,1.631411
86,,0.979800,1.637553
87,,0.979800,1.589951
88,,0.979800,1.923728
89,,0.979800,1.690130
90,,0.979800,1.835543
91,,0.979800,1.922434
92,,0.979800,1.639234
93,,0.979800,1.893428
94,,0.979800,1.774796
95,,0.979800,1.833484
96,,0.979800,1.782210
97,,0.979800,1.613957
98,,0.979800,1.834070
99,,0.979800,1.761853
100,,0.979800,1.894219
