epoch,train_accuracy,val_accuracy,epoch_time_s
1,,0.979800,2.457061
2,,0.979800,2.080699
3,,0.979800,2.228478
4,,0.979800,2.266084
5,,0.979800,2.956543
6,,0.979800,2.711686
7,,0.979800,2.540831
8,,0.979800,2.189711
9,,0.979800,1.943284
10,,0.979800,1.768557
11,,0.979800,2.258912
12,,0.979800,2.012114
13,,0.979800,1.741398
14,,0.979800,1.952582
15,,0.979800,1.819068
16,,0.979800,1.860451
17,,0.979800,1.960654
18,,0.979800,1.733771
19,,0.979800,1.746879
20,,0.979800,1.933963
21,,0.979800,1.859096
22,,0.979800,1.736192
23,,0.979800,1.796178
24,,0.979800,1.960151
25,,0.979800,1.785401
26,,0.979800,2.056421
27,,0.979800,2.114201
28,,0.979800,1.747490
29,,0.979800,1.717341
30,,0.979800,1.904535
31,,0.979800,1.833709
32,,0.979800,1.724794
33,,0.979800,1.875384
34,,0.979800,1.766723
35,,0.979800,1.706541
36,,0.979800,2.121291
37,,0.979800,1.957480
38,,0.979800,2.136647
39,,0.979800,2.409590
40,,0.979800,1.745850
41,,0.979800,2.003420
42,,0.979800,2.277378
43,,0.979800,1.761944
44,,0.979800,2.084220
45,,0.979800,1.792296
46,,0.979800,1.704850
47,,0.979800,1.788099
48,,0.979800,2.175624
49,,0.979800,1.832859
50,,0.979800,1.801496
51,,0.979800,2.096774
52,,0.979800,1.800123
53,,0.979800,1.743524
54,,0.979800,1.936181
55,,0.979800,1.723992
56,,0.979800,1.717843
57,,0.979800,1.862331
58,,0.979800,1.884545
59,,0.979800,1.700877
60,,0.979800,1.670844
61,,0.979800,2.079844
62,,0.979800,1.728039
63,,0.979800,1.716337
64,,0.979800,2.015137
65,,0.979800,1.716700
66,,0.979800,1.700532
67,,0.979800,2.434700
68,,0.979800,1.937816
69,,0.979800,2.024905
70,,0.979800,1.845770
71,,0.979800,2.360020
72,,0.979800,2.705390
73,,0.979800,1.805980
74,,0.979800,1.815357
75,,0.979800,2.065383
76,,0.979800,1.754142
77,,0.979800,1.781005
78,,0.979800,2.271873
79,,0.979800,1.872553
80,,0.979800,1.744277
81,,0.979800,1.976703
82,,0.979800,2.211379
83,,0.979800,1.926939
84,,0.979800,2.013811
85,,0.979800,1.771613
86,,0.979800,1.700072
87,,0.979800,1.862359
88,,0.979800,1.842407
89,,0.979800,1.744758
90,,0.979800,1.886179
91,,0.979800,2.309883
92,,0.979800,1.776302
93,,0.979800,2.313381
94,,0.979800,1.865969
95,,0.979800,1.809354
96,,0.979800,1.965200
97,,0.979800,1.869156
98,,0.979800,1.801654
99,,0.979800,2.002463
100,,0.979800,1.799406
