epoch,epoch_time_s
1,2.008284
2,1.932317
3,1.628638
4,1.797858
5,2.025902
6,1.906231
7,1.638365
8,1.676066
9,1.717198
10,1.566333
11,1.584816
12,1.914500
13,1.660642
14,1.576555
15,1.570316
16,2.322827
17,1.745777
18,1.699933
19,1.799756
20,1.689560
21,1.571600
22,1.644738
23,1.771072
24,1.683933
25,1.564830
26,1.813599
27,1.618889
28,1.584506
29,1.593011
30,2.097638
31,1.570840
32,1.763519
33,1.921518
34,1.649585
35,1.632412
36,1.823264
37,1.743100
38,1.605324
39,1.567952
40,1.808576
41,1.833803
42,1.859086
43,1.753755
44,1.668256
45,1.555096
46,1.576696
47,1.806625
48,1.694417
49,1.573930
50,1.602766
51,1.771252
52,1.611476
53,1.628153
54,2.088588
55,1.628674
56,1.587637
57,1.716010
58,1.834417
59,1.673176
60,1.638288
61,1.899491
62,1.669352
63,1.612769
64,1.634508
65,1.826757
66,1.887781
67,1.816828
68,2.147970
69,2.609208
70,1.799019
71,1.986814
72,1.612838
73,1.587780
74,1.825574
75,1.616453
76,1.651983
77,1.838267
78,2.050588
79,1.612163
80,1.605312
81,1.842593
82,1.645911
83,1.875769
84,1.839322
85,1.886337
86,1.628850
87,1.578505
88,1.938320
89,1.909805
90,1.866641
91,1.846244
92,1.594993
93,2.213459
94,1.984144
95,1.571551
96,1.609420
97,1.549779
98,1.804261
99,1.644106
100,1.751451
