Epoch,Time,Step Time,Accuracy,Loss,Val Accuracy,Val Loss
1,23,53ms/step,0.9065,0.307,0.6642,0.8696
2,19,46ms/step,0.9707,0.0966,0.9885,0.0381
3,19,44ms/step,0.979,0.0697,0.9892,0.0342
4,20,47ms/step,0.9826,0.0563,0.9918,0.0282
5,19,45ms/step,0.9845,0.0509,0.9917,0.0285
6,19,46ms/step,0.9864,0.0441,0.9928,0.0258
7,19,44ms/step,0.9887,0.0387,0.9922,0.0251
8,19,45ms/step,0.9891,0.0352,0.9932,0.024
9,19,44ms/step,0.9892,0.034,0.9937,0.0239
10,19,45ms/step,0.9907,0.0294,0.9948,0.0216
11,19,44ms/step,0.991,0.0285,0.9937,0.0239
12,19,46ms/step,0.9908,0.0281,0.9942,0.0218
13,19,44ms/step,0.9917,0.0252,0.994,0.0205
14,20,46ms/step,0.9917,0.026,0.9945,0.0219
15,20,48ms/step,0.9918,0.0246,0.9948,0.0238
16,19,46ms/step,0.9926,0.0232,0.994,0.0231
17,25,59ms/step,0.9925,0.0227,0.9952,0.0199
18,23,55ms/step,0.9928,0.0214,0.9955,0.0198
19,23,55ms/step,0.9936,0.0202,0.995,0.0215
20,24,56ms/step,0.994,0.0192,0.9953,0.0203
21,22,53ms/step,0.9943,0.0178,0.9947,0.0216
22,23,55ms/step,0.9939,0.0173,0.9948,0.0207
23,25,59ms/step,0.9941,0.0181,0.9938,0.0229
24,20,48ms/step,0.9945,0.0172,0.9947,0.0205
25,20,48ms/step,0.9944,0.0168,0.9953,0.0191
26,19,45ms/step,0.9947,0.0159,0.9945,0.023
27,19,46ms/step,0.9949,0.0153,0.9953,0.02
28,19,44ms/step,0.9952,0.0141,0.9948,0.0201
29,19,45ms/step,0.9954,0.014,0.9953,0.0221
30,18,43ms/step,0.9959,0.0126,0.9955,0.0205
31,20,46ms/step,0.9954,0.0136,0.9955,0.0203
32,20,47ms/step,0.9961,0.0124,0.9965,0.0203
33,19,46ms/step,0.9954,0.0133,0.9948,0.0212
34,19,45ms/step,0.9963,0.0119,0.9953,0.0191
35,19,46ms/step,0.996,0.012,0.9963,0.0199
36,19,45ms/step,0.9964,0.0108,0.995,0.0212
37,19,44ms/step,0.9963,0.0113,0.996,0.0194
38,19,46ms/step,0.9963,0.0113,0.9962,0.0206
39,19,44ms/step,0.9964,0.0106,0.9955,0.022
40,19,45ms/step,0.9966,0.0105,0.9953,0.0211
41,19,44ms/step,0.9969,0.0098,0.9952,0.0205
42,21,50ms/step,0.9968,0.0099,0.996,0.0207
43,22,53ms/step,0.9969,0.0095,0.9958,0.0205
44,21,49ms/step,0.9967,0.01,0.9952,0.0206
45,19,46ms/step,0.9972,0.0089,0.9955,0.0211
46,20,47ms/step,0.9972,0.0087,0.9955,0.0213
47,21,49ms/step,0.997,0.0089,0.9957,0.0206
48,19,45ms/step,0.997,0.0091,0.9948,0.0222
49,19,46ms/step,0.9967,0.0093,0.9948,0.0211
50,19,44ms/step,0.9973,0.0083,0.9957,0.022
51,20,46ms/step,0.9973,0.0087,0.9962,0.0219
52,18,44ms/step,0.997,0.0085,0.9963,0.0211
53,19,45ms/step,0.9974,0.0081,0.9962,0.0211
54,19,44ms/step,0.9973,0.008,0.9953,0.0233
55,19,45ms/step,0.9974,0.0081,0.9963,0.0225
56,19,44ms/step,0.9974,0.008,0.9958,0.0229
57,19,46ms/step,0.9974,0.0077,0.9958,0.0225
58,19,44ms/step,0.9978,0.0069,0.9947,0.0243
59,20,46ms/step,0.9977,0.0063,0.9948,0.0236
60,19,45ms/step,0.9973,0.008,0.995,0.0248
61,19,45ms/step,0.9976,0.007,0.9955,0.0223
62,19,45ms/step,0.9979,0.006,0.996,0.0217
63,20,47ms/step,0.9978,0.0063,0.996,0.0218
64,19,46ms/step,0.9975,0.0072,0.9963,0.0231
65,20,48ms/step,0.9978,0.0066,0.9958,0.023
66,20,47ms/step,0.9976,0.0068,0.9953,0.0245
67,19,45ms/step,0.9978,0.0062,0.9958,0.0226
68,19,46ms/step,0.9981,0.0064,0.9962,0.0222
69,18,44ms/step,0.9981,0.0062,0.9963,0.0242
70,19,46ms/step,0.9981,0.0061,0.996,0.0235
71,19,45ms/step,0.9982,0.0052,0.996,0.0237
72,20,47ms/step,0.9981,0.0056,0.9952,0.0264
73,19,44ms/step,0.9978,0.0067,0.996,0.0257
74,22,51ms/step,0.9981,0.0062,0.996,0.0225
75,21,50ms/step,0.9981,0.0052,0.9957,0.024
76,20,48ms/step,0.998,0.0061,0.9958,0.0243
77,19,45ms/step,0.9983,0.0052,0.996,0.0252
78,19,45ms/step,0.9981,0.0058,0.996,0.0232
79,19,46ms/step,0.998,0.006,0.9963,0.0236
80,19,45ms/step,0.9985,0.0043,0.9957,0.0255
81,19,45ms/step,0.9982,0.0056,0.995,0.0251
82,19,45ms/step,0.9985,0.0048,0.9958,0.0252
83,20,47ms/step,0.998,0.0056,0.9953,0.0252
84,19,46ms/step,0.9979,0.0057,0.9957,0.0233
85,21,49ms/step,0.9983,0.0054,0.9962,0.0216
86,20,47ms/step,0.9983,0.0052,0.996,0.0232
87,20,47ms/step,0.9985,0.0042,0.9953,0.0233
88,19,45ms/step,0.9984,0.0048,0.9963,0.0232
89,20,48ms/step,0.9979,0.0057,0.9963,0.0259
90,20,48ms/step,0.9989,0.0037,0.9963,0.0235
91,19,45ms/step,0.9985,0.0046,0.996,0.0259
92,19,46ms/step,0.9983,0.0047,0.9958,0.0252
93,19,45ms/step,0.9984,0.0046,0.9965,0.023
94,19,46ms/step,0.9983,0.0045,0.996,0.023
95,19,44ms/step,0.9982,0.0051,0.9965,0.0231
96,19,46ms/step,0.9984,0.0046,0.996,0.0248
97,19,46ms/step,0.9982,0.0053,0.9963,0.0251
98,20,46ms/step,0.9983,0.0054,0.9962,0.0261
99,19,46ms/step,0.9985,0.0047,0.9958,0.0267
100,19,46ms/step,0.9984,0.0043,0.9963,0.0234
