intra_threads,inter_threads,batch_size,data_load_time_sec,model_init_time_sec,train_time_total_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,eval_time_sec,total_time,test_accuracy
1,1,64,2.01810709,0.004189941,1795.38861,678.8765098,1073.232432,1.674344541,23.1592209,3574.353414,0.6002
1,2,64,1.974575059,0.004134641,1793.141679,672.9579427,1076.651007,1.671802152,23.3019085,3569.703049,0.6002
1,3,64,1.974510831,0.004029911,1795.007476,684.2900048,1067.602988,1.687541316,22.07586754,3572.642418,0.6002
1,4,64,2.106145207,0.004095904,1804.449178,686.7008584,1074.422451,1.668266287,22.87690545,3592.227901,0.6002
2,1,64,2.010288777,0.006585957,1753.294129,635.4280701,1064.583841,2.17629022,23.06849331,3480.567699,0.6002
2,2,64,2.141290545,0.005833508,1774.834552,642.7703897,1078.886858,2.165056491,21.36200541,3522.165985,0.6002
2,3,64,1.995230883,0.004892439,1751.63571,630.415341,1068.327836,2.179797385,23.87821906,3478.437026,0.6002
2,4,64,2.090024106,0.00568162,1733.955366,623.0126673,1058.524668,2.135028408,23.07362364,3442.797059,0.6002
3,1,64,1.96805956,0.005816319,1735.605107,612.9452167,1079.099186,1.823599186,22.25422361,3453.701209,0.6496
3,2,64,2.055482042,0.006132203,1769.275836,623.0581336,1102.092567,1.841248499,22.54606792,3520.875467,0.6496
3,3,64,2.045265295,0.004581679,1760.452005,618.7879619,1098.175142,1.801386691,21.01906899,3502.285411,0.6496
3,4,64,2.221933179,0.004548402,1775.954889,631.8400215,1099.942707,1.817049738,21.11495511,3532.896104,0.6496
4,1,64,2.093269003,0.005374632,1712.888846,612.3718805,1056.734071,1.794012745,21.13646074,3407.023914,0.6002
4,2,64,2.182719617,0.004983122,1716.725851,620.3943288,1052.274783,1.777773736,21.17652504,3414.536964,0.6002
4,3,64,2.306259667,0.004317587,1713.8091,615.2943483,1054.770376,1.782118413,21.88321513,3409.849734,0.6002
4,4,64,2.23939787,0.006731022,1687.934269,613.0066084,1031.939095,1.755164379,22.25878119,3359.140047,0.6002
1,1,128,2.263386449,0.005493179,2602.025501,1000.432906,1559.949125,0.885346512,35.22785096,5200.78961,0.5647
1,2,128,2.1771889,0.006724268,2607.945292,1007.00112,1559.176471,0.883133493,31.11882055,5208.308751,0.5647
1,3,128,2.131647421,0.006263864,2705.21548,1037.070112,1626.449262,0.883097703,39.34387575,5411.099739,0.5647
1,4,128,2.164162492,0.005254605,2630.920209,1012.808181,1576.838747,0.877240113,38.39847149,5262.012265,0.5647
2,1,128,6.373858054,0.066033704,2439.447974,890.437746,1503.001926,1.184227092,32.4634672,4872.975232,0.5647
2,2,128,2.732629237,0.006256814,2458.087064,893.5368262,1518.348506,1.162486996,30.14002778,4904.013797,0.5647
2,3,128,2.102875841,0.004401295,2388.322223,874.4077382,1467.651919,1.244033143,35.18781838,4768.921008,0.5647
2,4,128,2.37739426,0.007422743,2455.200582,891.7268103,1515.882547,1.205944944,29.1299738,4895.530675,0.5647
3,1,128,2.30354136,0.00613426,2377.554481,853.9586848,1480.225473,0.925822458,29.5579608,4744.532098,0.6077
