intra_threads,inter_threads,batch_size,data_load_time_sec,model_build_time_sec,compile_time_sec,train_time_total_sec,eval_time_sec,total_time,test_accuracy
2,1,64,4.584252655,0.123047658,0.008797789,2657.683371,41.7159331,2704.115402,0.578499973
2,2,64,5.011288905,0.120415671,0.009456266,2695.013746,21.47791855,2721.632826,0.578499973
2,3,64,5.27876244,0.173728239,0.012909335,2496.815195,21.14291137,2523.423506,0.578499973
2,4,64,5.140526609,0.182760391,0.012687941,2461.544347,22.78989882,2489.670221,0.578499973
3,1,64,4.071030468,0.126899931,0.009778192,2693.734359,21.35043669,2719.292504,0.578499973
3,2,64,5.289152491,0.189182703,0.008398901,2501.246702,21.46595235,2528.199389,0.578499973
3,3,64,4.293694102,0.192528184,0.014206473,2648.077266,41.92308391,2694.500779,0.578499973
3,4,64,4.454781192,0.125303168,0.009432411,2565.665724,21.57721866,2591.83246,0.578499973
4,1,64,4.396362996,0.199666642,0.012961953,2757.467994,42.26989403,2804.34688,0.516900003
4,2,64,5.788056937,0.145907436,0.009302233,2740.172901,24.92033924,2771.036506,0.516900003
4,3,64,5.33409588,0.129320961,0.010264584,2787.843275,24.03010757,2817.347064,0.516900003
4,4,64,4.206870338,0.130996091,0.009653635,2715.761147,24.05120049,2744.159868,0.516900003
1,1,64,4.063341749,0.137580396,0.008887918,2820.805653,22.00618549,2847.021649,0.557900012
1,2,64,6.242008155,0.147890608,0.011412442,2728.553668,41.99382261,2776.948802,0.557900012
1,3,64,6.845641293,0.42411202,0.014877575,2792.137571,23.45128221,2822.873484,0.557900012
1,4,64,5.929614497,0.125023809,0.00983826,2813.121716,23.73250546,2842.918698,0.557900012
2,1,128,5.172220217,0.152619091,0.014483454,3011.873178,42.23425429,3059.446755,0.457599998
2,2,128,5.751498022,0.219985844,0.013846404,2900.456405,24.26005866,2930.701794,0.457599998
2,3,128,4.941279922,0.126220574,0.009107341,2907.19868,23.32738114,2935.602669,0.457599998
2,4,128,5.796451562,0.150006881,0.010593198,2810.402593,22.33699837,2838.696643,0.457599998
3,1,128,5.372492562,0.215203862,0.015183211,3077.499454,42.33777936,3125.440113,0.457599998
3,2,128,5.222044834,0.144893014,0.01175642,2868.719393,42.65510497,2916.753192,0.457599998
3,3,128,4.861631192,0.144746674,0.010152263,2780.955023,22.66514615,2808.636699,0.457599998
3,4,128,5.289927818,0.214107624,0.016641661,2851.359447,24.55879283,2881.438917,0.457599998
4,1,128,5.35223097,0.150248256,0.010539168,3035.85444,41.86015617,3083.227615,0.530399978
4,2,128,1.858539188,0.115779107,0.010054738,1875.31046,20.89796397,1898.192797,0.512799978
4,3,128,3.243573169,0.127649286,0.00731948,1857.851271,20.82525514,1882.055068,0.512799978
4,4,128,2.203471059,0.102724968,0.006686559,1756.813954,21.05081689,1780.177654,0.512799978
1,1,128,4.27525512,0.116172239,0.007814139,2131.65284,14.92824207,2150.980324,0.396699995
1,2,128,1.966318389,0.088453168,0.006362859,1923.692169,15.4042033,1941.157507,0.396699995
1,3,128,1.927533388,0.09504267,0.006118679,2050.553115,16.02281136,2068.604621,0.396699995
1,4,128,2.715383105,0.15976581,0.012323848,2097.263189,15.33403448,2115.484696,0.396699995
