step,loss
0,4.000093
1,5.544201
2,17.430981
3,10.071594
4,10.968102
5,5.416343
6,3.195219
7,12.639303
8,11.919887
9,16.453665
10,5.881715
11,7.462599
12,12.136754
13,1.722532
14,1.781858
15,6.426149
16,8.012669
17,1.171547
18,4.016953
19,1.364555
20,4.077474
21,6.964245
22,5.394357
23,9.512465
24,7.676052
25,3.756598
26,0.797435
27,4.667445
28,2.43745
29,4.688115
30,6.574151
31,4.61791
32,1.02683
33,0.284627
34,3.959966
35,1.148322
36,2.840427
37,3.589997
38,5.358262
39,0.94603
40,0.511259
41,4.673634
42,2.469066
43,2.50431
44,1.794339
45,0.045129
46,1.586381
47,2.877312
48,0.262922
49,0.642689
50,1.918413
51,0.672672
52,0.136175
53,0.183056
54,0.324696
55,0.045076
56,0.60822
57,2.226905
58,2.127618
59,0.003564
60,1.956482
61,0.445168
62,0.449448
63,0.10276
64,2.069834
65,0.319849
66,0.030706
67,0.013933
68,1.687543
69,0.029409
70,0.277032
71,0.105114
72,0.020588
73,1.370061
74,0.264619
75,0.157883
76,1.30888
77,0.08642
78,0.682329
79,0.66167
80,0.767879
81,0.050836
82,0.150611
83,0.418318
84,0.811197
85,0.260519
86,0.430025
87,0.38374
88,1.010934
89,0.645861
90,0.029199
91,0.003805
92,0.000018
93,0.056862
94,0.11879
95,0.492502
96,0.003485
97,0.44855
98,0.026331
99,0.002295
100,0.048062
101,0.013361
102,0.020227
103,0.08578
104,0.103431
105,0.076133
106,0.353011
107,0.253475
108,0.04384
109,0.023612
110,0.621685
111,0.222765
112,0.036392
113,0.419279
114,0.068715
115,0.302457
116,0.151771
117,0.096112
118,0.140739
119,0.178971
120,0.218649
121,0.044334
122,0.327901
123,0.000036
124,0.279653
125,0.163114
126,0.487721
127,0.066132
128,0.109142
129,0.019962
130,0.386719
131,0.083332
132,0.145756
133,0.107269
134,0.005064
135,0.004491
136,0.006745
137,0.147244
138,0.041439
139,0.289466
140,0.034523
141,0.431976
142,0.013542
143,0.170707
144,0.454285
145,0.007568
146,0.181834
147,0.015365
148,0.078022
149,0.000857
150,0.000008
151,0.401385
152,0.202135
153,0.120339
154,0.035299
155,0.044303
156,0.18759
157,0.058507
158,0.038993
159,0.177588
160,0.084539
161,0.00001
162,0.011349
163,0.114584
164,0.304729
165,0.314485
166,0.002941
167,0.167361
168,0.370389
169,0.006634
170,0.181726
171,0.270876
172,0.227901
173,0.145373
174,0.236312
175,0.01262
176,0.061888
177,0.151805
178,0.178043
179,0.000016
180,0.016036
181,0.000009
182,0.196432
183,0.335413
184,0.047045
185,0.101671
186,0.063475
187,0.272904
188,0.083251
189,0.204817
190,0.000841
191,0.000174
192,0.015823
193,0.145709
194,0.087415
195,0.003735
196,0.269921
197,0.015776
198,0.010965
199,0.122525
