step,time_ms
graph creation,0
placeholders,3.431
variables,0.501
forward graph,0.008
loss graph,0.534
gradient_graph,2.728
optimizer_graph,0.013
session_creation,2.446
variable_initialization,52.176
0,13.845
1,0.054
2,0.03
3,0.055
4,0.043
5,0.038
6,0.071
7,0.058
8,0.042
9,0.045
10,0.049
11,0.046
12,0.049
13,0.034
14,0.057
15,0.055
16,0.047
17,0.039
18,0.057
19,0.05
20,0.05
21,0.044
22,0.044
23,0.046
24,0.055
25,0.035
26,0.048
27,0.059
28,0.045
29,0.058
30,0.054
31,0.038
32,0.046
33,0.053
34,0.043
35,0.057
36,0.043
37,0.064
38,0.057
39,0.051
40,0.05
41,0.041
42,0.048
43,0.036
44,0.032
45,0.031
46,0.042
47,0.038
48,0.046
49,0.04
50,0.043
51,0.04
52,0.05
53,0.053
54,0.06
55,0.039
56,0.057
57,0.053
58,0.047
59,0.056
60,0.033
61,0.041
62,0.029
63,0.031
64,0.035
65,0.04
66,0.033
67,0.031
68,0.028
69,0.032
70,0.03
71,0.041
72,0.026
73,0.051
74,0.027
75,0.046
76,0.03
77,0.033
78,0.031
79,0.052
80,0.031
81,0.048
82,0.046
83,0.038
84,0.033
85,0.056
86,0.048
87,0.032
88,0.034
89,0.044
90,0.018
91,0.017
92,0.016
93,0.017
94,0.017
95,0.017
96,0.019
97,0.017
98,0.016
99,0.017
100,0.016
101,0.016
102,0.016
103,0.016
104,0.015
105,0.016
106,0.018
107,0.02
108,0.017
109,0.016
110,0.016
111,0.017
112,0.019
113,0.017
114,0.016
115,0.016
116,0.016
117,0.016
118,0.016
119,0.02
120,0.017
121,0.016
122,0.018
123,0.016
124,0.016
125,0.016
126,0.016
127,0.017
128,0.016
129,0.015
130,0.015
131,0.016
132,0.017
133,0.015
134,0.016
135,0.015
136,0.015
137,0.015
138,0.016
139,0.017
140,0.018
141,0.017
142,0.016
143,0.016
144,0.015
145,0.015
146,0.016
147,0.016
148,0.016
149,0.015
150,0.016
151,0.016
152,0.017
153,0.016
154,0.016
155,0.015
156,0.015
157,0.016
158,0.018
159,0.018
160,0.016
161,0.015
162,0.015
163,0.015
164,0.015
165,0.016
166,0.016
167,0.016
168,0.016
169,0.016
170,0.018
171,0.016
172,0.017
173,0.015
174,0.016
175,0.015
176,0.017
177,0.015
178,0.015
179,0.015
180,0.016
181,0.016
182,0.015
183,0.015
184,0.015
185,0.015
186,0.016
187,0.018
188,0.017
189,0.016
190,0.015
191,0.016
192,0.016
193,0.016
194,0.016
195,0.017
196,0.015
197,0.016
198,0.015
199,0.015
,0
